harga,alamat,fasilitas,spesifikasi
Rp 1 Miliar,"Ciledug, Tangerang"," Ac, CCTV, Jalur Telepon, Jogging Track,Keamanan,Masjid, Taman,Tempat Jemuran,Pemanas Air,Wastafel, Lapangan Basket,Lapangan Bola, Lapangan Bulu Tangkis,Lapangan Tenis, Lapangan Voli, Tempat Gym, Track Lari","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '51 m²'], ['Luas Bangunan', '75 m²'], ['Carport', '2'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Batako, Beton, Bata Merah, Bata Hebel'], ['Material Lantai', 'Granit, Keramik, Ubin'], ['Jumlah Lantai', '2'], ['Hadap', 'Barat'], ['Konsep dan Gaya Rumah', 'Minimalis Modern'], ['Pemandangan', 'Pemukiman Warga'], ['Terjangkau Internet', 'Tidak'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'Sumur Bor'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14859607']]"
"Rp 8,5 Miliar","Ciledug, Tangerang","Taman,AC,Pemanas Air","[['Kamar Tidur', '3'], ['Kamar Mandi', '3'], ['Luas Tanah', '858 m²'], ['Luas Bangunan', '275 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '4400 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Garasi', '4'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Semi Furnished'], ['ID Iklan', 'hos14884938']]"
harga,alamat,fasilitas,spesifikasi
Rp 370 Juta,"Panongan, Tangerang",Tempat Jemuran,"[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '60 m²'], ['Luas Bangunan', '36 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'HGB - Hak Guna Bangunan'], ['Daya Listrik', '1300 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Garasi', '1'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos15190748']]"
"Rp 1,3 Miliar","Panongan, Tangerang","Jalur Telepon,Taman,Akses Parkir, CCTV,Keamanan 24 jam, Kolam Renang, One Gate System, Playground,Wastafel,Tempat Gym,Track Lari","[['Kamar Tidur', '3'], ['Kamar Mandi', '3'], ['Luas Tanah', '84 m²'], ['Luas Bangunan', '93 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'Lainnya (PPJB,Girik,Adat,dll)'], ['Daya Listrik', '2200 Watt'], ['Kamar Pembantu', '1'], ['Kamar Mandi Pembantu', '1'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '2'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14544351']]"
Rp 950 Juta,"Panongan, Tangerang",Taman,"[['Kamar Tidur', '2'], ['Kamar Mandi', '2'], ['Luas Tanah', '96 m²'], ['Luas Bangunan', '51 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', 'Lainnya Watt'], ['Kamar Pembantu', '1'], ['Kamar Mandi Pembantu', '1'], ['Garasi', '1'], ['Jumlah Lantai', '1'], ['Kondisi Properti', 'bagus'], ['ID Iklan', 'hos14547080']]"
"Rp 1,88 Miliar","Panongan, Tangerang","Taman,Tempat Jemuran,Keamanan 24 jam","[['Kamar Tidur', '4'], ['Kamar Mandi', '4'], ['Luas Tanah', '157 m²'], ['Luas Bangunan', '260 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Ya'], ['Ruang Tamu', 'Ya'], ['Kondisi Perabotan', 'Unfurnished'], ['Jumlah Lantai', '2'], ['Hadap', 'Timur'], ['Terjangkau Internet', 'Tidak'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14686650']]"
"Rp 1,35 Miliar","Panongan, Tangerang","AC,Kitchen Set","[['Kamar Tidur', '3'], ['Kamar Mandi', '2'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '80 m²'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'SHM - Sertifikat Hak Milik'], ['Daya Listrik', '4400 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Furnished'], ['Jumlah Lantai', '2'], ['Terjangkau Internet', 'Tidak'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Bagus'], ['ID Iklan', 'hos14753122']]"
Rp 488 Juta,"Panongan, Tangerang"," Ac,Jogging Track,Keamanan, Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Tempat Gym,Track Lari","[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '50 m²'], ['Luas Bangunan', '31 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'HGB - Hak Guna Bangunan'], ['Daya Listrik', '2200 Watt'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Merah'], ['Material Lantai', 'Keramik, Marmer'], ['Garasi', '1'], ['Jumlah Lantai', '1'], ['Hadap', 'Barat'], ['Konsep dan Gaya Rumah', 'Scandinavian'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Tidak'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14913718']]"
Rp 640 Juta,"Panongan, Tangerang"," Jogging Track,Keamanan,Taman,Tempat Jemuran, CCTV,Keamanan 24 jam, One Gate System, Playground,Pemanas Air,Tempat Gym,Track Lari","[['Kamar Tidur', '2'], ['Kamar Mandi', '1'], ['Luas Tanah', '72 m²'], ['Luas Bangunan', '38 m²'], ['Carport', '1'], ['Tipe Properti', 'Rumah'], ['Sertifikat', 'HGB - Hak Guna Bangunan'], ['Daya Listrik', '2200 Watt'], ['Dapur', '1'], ['Ruang Makan', 'Tidak'], ['Ruang Tamu', 'Tidak'], ['Kondisi Perabotan', 'Unfurnished'], ['Material Bangunan', 'Bata Merah'], ['Material Lantai', 'Marmer'], ['Garasi', '1'], ['Jumlah Lantai', '1'], ['Hadap', 'Utara'], ['Konsep dan Gaya Rumah', 'Scandinavian'], ['Pemandangan', 'Perkotaan'], ['Terjangkau Internet', 'Ya'], ['Lebar Jalan', '2 Mobil'], ['Tahun Dibangun', '2023'], ['Sumber Air', 'PAM atau PDAM'], ['Hook', 'Tidak'], ['Kondisi Properti', 'Baru'], ['ID Iklan', 'hos14916321']]"
