price,Kecamatan,komplek,Listrik,Lantai,KM,KMP,KP,KT,Kondisi,kondisi_properti,LB,LT,carport/Garage
2200,Permata Medang,1,900,1,2,0,0,2,Furnished,Bagus,138,160,1
1300,Permata Medang,0,5500,2,1,1,0,5,Furnished,Bagus,180,90,1
750,Permata Medang,0,2200,1,1,0,0,2,Furnished,Bagus,50,60,0
1000,Permata Medang,0,2200,1,2,1,1,2,Unfurnished,Bagus,80,120,1
595,Permata Medang,0,1300,1,1,0,0,2,Unfurnished,Bagus,40,60,1
550,Jombang,0,1300,1,1,0,0,2,Unfurnished,Bagus,60,66,0
1660,Jombang,0,900,2,2,0,0,3,Furnished,Bagus,70,120,0
820,Permata Medang,0,2200,1,1,0,1,2,Unfurnished,Bagus,70,90,1
1300,Permata Medang,0,5500,2,1,1,0,5,Unfurnished,Bagus,180,90,1
2200,Permata Medang,1,4400,2,3,1,1,5,Furnished,Bagus,256,128,1
1200,Permata Medang,1,2200,1,2,1,1,3,Unfurnished,Bagus,120,136,1
850,Permata Medang,1,1300,1,2,0,0,2,Unfurnished,Bagus,60,87,0
2800,BSD Ingenia,1,2200,2,3,1,1,3,Furnished,Bagus,152,136,1
2740,BSD Ingenia,1,2200,2,2,1,1,3,Unfurnished,Bagus,114,144,1
2500,BSD Ingenia,0,2200,2,2,1,1,3,Furnished,Bagus,114,136,1
2650,BSD Ingenia,0,2200,2,2,1,1,3,Furnished,Bagus,114,144,0
3100,BSD Ingenia,1,2200,2,3,1,1,3,Unfurnished,Bagus,125,168,1
750,Permata Medang,1,2200,1,1,0,0,2,Unfurnished,Bagus,60,72,1
1350,Permata Medang,1,2200,1,3,0,0,4,Furnished,Bagus,90,135,1
2550,BSD Ingenia,1,2200,2,3,0,0,4,Unfurnished,Bagus,92,144,0
1840,Permata Medang,1,3500,1,3,0,1,5,Unfurnished,Bagus,118,91,1
1400,BSD Vanya Park,1,4400,3,3,0,0,6,Furnished,Bagus,89,34,0
1350,BSD Vanya Park,0,2200,3,2,0,0,4,Furnished,Bagus,90,32,1
1450,BSD Vanya Park,1,3300,2,2,2,2,2,Furnished,Bagus,53,60,0
1300,BSD Vanya Park,1,2200,2,2,0,0,2,Unfurnished,Bagus,53,60,1
1260,BSD Vanya Park,0,900,2,2,0,0,2,Furnished,Bagus,72,60,0
3500,BSD Golden Viena,1,4400,2,3,1,1,3,Unfurnished,Bagus,275,180,1
1650,BSD Golden Viena,1,4400,2,3,0,0,4,Furnished,Bagus,110,155,0
3500,BSD Golden Viena,0,4400,2,3,1,1,3,Unfurnished,Bagus,275,180,0
1800,BSD Vanya Park,0,900,2,2,0,0,3,Unfurnished,Bagus,70,77,0
2900,BSD Golden Viena,0,4400,2,3,1,1,3,Unfurnished,Bagus,250,180,0
3750,BSD Golden Viena,0,4400,2,3,1,0,4,Furnished,Bagus,250,273,0
2400,BSD Golden Viena,0,2200,2,1,1,1,2,Unfurnished,Bagus,120,160,0
3500,BSD Golden Viena,0,4400,2,3,1,1,3,Furnished,Bagus,275,180,1
3500,BSD Golden Viena,1,3500,2,3,1,1,3,Furnished,Bagus,175,240,1
1950,BSD Golden Viena,1,2200,2,1,1,1,4,Furnished,Butuh renovasi,250,160,1
