price,Kecamatan,kondisi_perabotan,luas_bangunan,luas_tanah,daya_listrik
900,Pondok Benda,1,72,72,2200.0
1290,Pondok Benda,2,114,141,2200.0
925,Pondok Benda,1,65,82,2200.0
1050,Pondok Benda,1,79,109,2200.0
1200,Pondok Benda,2,90,83,2200.0
600,Pondok Benda,1,55,60,2200.0
6000,Pondok Benda,2,250,300,5500.0
599,Pondok Benda,2,66,60,2200.0
450,Pondok Benda,1,39,66,2200.0
3000,Pondok Benda,2,230,248,4400.0
1470,Pondok Benda,2,111,117,2200.0
549,Pondok Benda,2,48,72,1300.0
500,Pondok Benda,1,45,67,1300.0
850,Pondok Benda,1,100,82,1300.0
700,Pondok Benda,2,100,60,1300.0
600,Pondok Benda,1,70,107,900.0
1950,Tangerang Kota,2,160,218,3300.0
2050,Tangerang Kota,2,160,144,4400.0
6200,Tangerang Kota,1,200,181,5500.0
2300,Tangerang Kota,2,98,120,4400.0
2200,Tangerang Kota,2,100,188,1300.0
1480,Tangerang Kota,1,236,118,1300.0
1850,Tangerang Kota,2,120,88,2200.0
1200,Tangerang Kota,2,84,76,2200.0
580,Tangerang Kota,1,84,84,2200.0
5500,Tangerang Kota,2,400,400,11000.0
1050,Tangerang Kota,2,70,90,2200.0
375,Tangerang Kota,1,36,123,1300.0
2000,Tangerang Kota,2,504,168,3300.0
1300,Tangerang Kota,1,135,135,1300.0
2500,Tangerang Kota,2,180,216,2200.0
3800,Tangerang Kota,2,300,243,5500.0
3000,Tangerang Kota,2,180,200,2200.0
2000,Tangerang Kota,2,86,180,2200.0
2700,Tangerang Kota,2,132,132,2200.0
750,Tangerang Kota,1,100,72,1300.0
2200,Ciledug,1,165,180,2200.0
2800,Ciledug,1,270,384,2200.0
700,Ciledug,1,50,72,1300.0
2450,Ciledug,2,153,133,2200.0
1200,Ciledug,1,200,156,1300.0
1400,Ciledug,2,75,75,2200.0
950,Ciledug,1,77,72,2200.0
927,Ciledug,1,51,58,2200.0
1840,Ciledug,1,120,88,2200.0
700,Ciledug,1,126,90,2200.0
425,Ciledug,2,40,50,1300.0
3500,Ciledug,1,400,289,5500.0
2400,Ciledug,2,800,1775,3500.0
1850,Ciledug,1,120,88,2200.0
800,Ciledug,1,126,90,2200.0
650,Ciledug,1,55,76,1300.0
1850,Ciledug,2,84,77,3500.0
1300,Ciledug,1,170,90,7700.0
1000,Ciledug,1,75,51,2200.0
8500,Ciledug,2,275,858,4400.0
950,Panongan,1,51,96,1300.0
1880,Panongan,1,260,157,2200.0
1350,Panongan,2,80,72,4400.0
640,Panongan,1,38,72,2200.0
325,Panongan,1,42,60,1300.0
450,Panongan,1,115,115,1300.0
275,Panongan,1,60,60,1300.0
630,Panongan,1,40,72,1300.0
1130,Panongan,1,82,84,2200.0
540,Panongan,1,36,72,2200.0
825,Panongan,1,110,96,2200.0
